crop,temperature,rainfall,humidity,soil_ph,nitrogen,phosphorus,potassium,irrigation_days,label
Potato,15.12,1249.6,57.94,6.0,376.59,72.72,245.45,5,1
KnolKhol,16.43,1076.38,42.18,6.56,352.82,56.43,168.3,5,1
Radish,11.42,1131.99,46.45,6.18,202.23,51.86,152.47,5,1
Peas,7.47,1599.31,89.16,8.68,119.89,5.28,60.38,12,0
Beetroot,19.03,927.82,40.83,6.8,234.15,64.05,168.32,5,1
Turnip,12.35,806.84,40.0,6.48,164.5,36.33,191.19,9,1
Carrot,17.15,1210.09,57.17,6.31,278.76,39.05,249.63,7,1
Carrot,18.49,1248.83,42.43,6.49,309.3,48.44,154.46,4,1
KnolKhol,15.86,1102.28,52.29,6.06,321.95,57.4,287.99,6,1
Peas,14.34,1227.77,52.68,7.29,270.99,49.65,132.95,7,1
Cabbage,19.06,1212.64,49.37,6.21,326.78,82.23,264.5,5,1
Turnip,9.61,870.82,44.51,6.34,237.37,43.18,125.6,8,1
Cauliflower,16.49,1340.27,44.95,5.96,418.33,72.18,220.03,3,1
Cabbage,34.47,1714.06,80.87,8.38,93.82,19.45,92.52,8,0
Peas,14.55,979.03,40.0,7.49,274.54,67.04,108.59,6,1
Cabbage,25.11,1123.08,52.8,6.91,454.1,75.12,224.55,6,1
Potato,17.71,2021.26,77.72,5.18,371.86,40.02,230.73,1,1
Potato,18.43,1784.99,69.38,5.47,344.01,50.26,187.6,2,1
Beans,17.91,1187.5,47.1,6.29,272.32,34.65,186.99,4,1
Beetroot,15.83,888.68,40.0,6.08,222.11,41.57,153.11,9,1
Radish,15.34,1016.98,42.69,6.55,152.98,30.71,186.01,7,1
KnolKhol,14.29,857.7,40.0,6.72,373.17,59.52,177.0,7,1
Peas,17.48,1133.43,49.28,7.23,222.17,55.98,123.44,5,1
Beans,14.85,1191.1,45.34,6.25,321.85,39.23,154.98,6,1
Radish,15.84,1665.38,33.65,8.49,143.6,9.88,81.43,9,0
KnolKhol,17.96,976.35,44.5,5.72,271.69,75.89,181.76,8,1
Radish,11.96,951.08,40.0,5.95,199.04,51.01,161.1,7,1
Cabbage,16.55,1450.83,67.49,6.54,301.85,59.39,303.76,4,0
Turnip,15.09,853.81,40.0,6.8,287.52,58.2,192.46,8,1
Potato,14.61,1753.19,78.1,6.47,361.44,71.13,181.16,5,0
Beetroot,17.68,864.65,40.0,6.99,204.2,48.33,157.19,7,1
Potato,20.16,1504.78,66.52,5.7,365.92,53.33,152.02,4,1
Radish,12.01,1021.4,40.0,6.11,225.25,59.55,171.38,5,0
Potato,29.17,1901.4,35.3,7.88,50.86,5.06,56.42,10,0
Cabbage,17.88,1507.59,64.2,6.83,397.69,71.92,294.49,4,1
Turnip,22.35,2079.4,80.36,8.15,60.25,19.65,79.04,8,0
Carrot,17.17,1514.28,60.38,6.42,297.57,45.36,245.14,4,1
Carrot,13.84,1418.73,63.46,6.93,214.0,30.39,199.66,4,1
Beetroot,15.54,1123.14,41.98,6.75,337.24,32.4,183.35,7,1
Cauliflower,16.3,1726.6,92.46,7.69,53.39,5.11,87.77,4,0
Peas,16.22,751.55,40.0,6.51,177.95,72.02,187.25,7,0
Turnip,13.34,671.53,40.0,6.31,215.76,51.93,143.06,8,1
Beans,16.79,1519.58,64.25,6.49,307.88,46.13,195.07,3,1
KnolKhol,14.2,869.15,42.57,6.36,336.04,77.56,228.59,8,1
Radish,12.74,917.15,40.0,5.71,184.44,34.44,167.4,6,1
Cauliflower,13.72,1435.72,55.21,6.33,452.89,65.06,234.86,3,1
Cabbage,18.06,1065.96,49.9,6.41,455.64,62.81,310.66,7,1
Cauliflower,14.56,1438.03,55.19,6.02,464.55,77.3,338.6,3,1
Beans,14.41,1078.73,84.84,8.77,58.78,11.4,62.29,2,0
Peas,15.84,981.05,45.19,7.37,179.01,61.5,161.97,7,1
Peas,16.1,964.79,40.0,6.14,183.35,46.18,190.69,8,0
Cauliflower,8.05,2322.32,53.69,7.52,125.64,5.81,76.36,13,0
Beans,17.03,1239.89,54.72,5.76,273.84,43.0,235.34,4,1
Potato,17.97,1933.14,81.45,6.22,250.89,43.57,293.29,2,1
Cabbage,23.5,1394.06,59.26,6.83,401.51,87.16,216.36,5,1
Cauliflower,23.8,983.21,56.46,8.54,139.72,19.35,59.64,14,0
KnolKhol,12.98,639.02,69.34,7.98,131.48,13.29,96.18,13,0
Cabbage,20.61,1014.3,49.83,7.4,334.66,74.17,309.19,4,1
KnolKhol,24.66,2447.69,61.38,7.88,137.18,13.68,96.77,11,0
Radish,16.43,772.34,40.0,5.91,215.48,58.1,183.93,9,1
Cabbage,20.75,991.84,46.99,6.81,319.39,83.54,277.37,6,1
Cabbage,18.17,1278.61,56.22,7.33,372.48,82.57,209.81,4,1
Radish,13.92,1007.01,46.32,6.19,241.26,54.53,175.2,6,1
Beetroot,20.69,992.81,40.0,6.65,218.36,50.84,165.23,6,1
Radish,12.18,941.9,40.0,6.34,157.75,43.06,165.48,7,1
Cabbage,17.52,1624.62,71.78,6.49,360.44,67.86,307.16,3,1
Peas,16.22,780.66,40.0,7.31,224.06,72.96,172.6,8,0
KnolKhol,15.37,1092.85,52.84,6.68,305.76,41.35,297.81,6,1
Peas,13.78,925.21,40.0,7.12,198.61,46.66,176.17,8,1
Radish,17.31,736.82,40.0,5.68,242.58,57.46,176.23,6,1
Cauliflower,17.95,975.28,40.0,5.81,446.41,87.16,249.1,7,1
Radish,11.4,868.51,40.0,6.15,156.12,44.27,199.62,7,1
Peas,16.45,1084.47,42.84,7.48,165.81,71.62,116.54,5,1
Potato,15.6,1744.37,78.24,5.14,374.64,43.87,243.93,4,1
Turnip,11.58,907.55,88.84,8.37,136.77,12.58,59.01,15,0
KnolKhol,19.8,1130.04,48.11,6.6,262.36,52.33,225.06,8,1
Beetroot,17.34,1230.7,58.22,6.95,209.66,41.94,187.29,7,0
Beetroot,6.85,258.0,77.22,7.83,138.19,17.33,94.34,14,0
Cabbage,33.27,1075.84,31.71,8.0,142.55,5.49,65.6,14,0
Turnip,13.22,802.02,40.0,6.89,243.88,49.04,161.68,6,1
Peas,17.49,860.95,40.0,6.21,161.64,51.39,149.24,7,1
Beans,12.01,2404.36,38.54,8.47,130.78,16.65,95.86,5,0
Potato,15.33,815.79,82.95,8.21,97.72,7.77,60.52,2,0
Radish,7.21,695.0,75.11,8.88,110.08,11.45,62.54,6,0
Cauliflower,22.26,1069.21,42.58,5.65,380.67,51.61,280.76,7,1
Cabbage,17.89,1326.95,59.13,7.31,421.02,72.35,317.5,4,1
Beetroot,15.3,893.3,40.0,6.33,347.02,44.89,234.52,6,1
Peas,15.66,1171.07,40.0,6.29,278.8,44.09,105.0,5,1
Radish,16.64,915.15,40.0,5.66,236.95,49.87,146.14,7,1
Cabbage,20.44,1378.6,55.06,6.53,397.46,66.31,283.43,5,1
Potato,18.34,1415.97,60.78,5.17,306.67,69.75,181.24,3,1
Peas,16.99,207.78,45.07,8.94,52.88,12.42,96.36,9,0
Beetroot,31.09,1608.43,43.17,8.43,120.33,19.96,69.32,3,0
Beetroot,14.54,1071.44,48.68,6.4,305.77,44.55,167.77,6,1
Turnip,11.04,990.81,40.0,6.81,280.6,55.09,187.57,7,1
Cabbage,23.09,1705.31,62.25,6.36,476.34,70.81,264.79,2,1
Peas,12.21,843.76,40.0,6.42,243.51,62.89,109.13,6,1
Cabbage,18.14,1093.69,40.94,6.4,457.99,76.5,336.78,5,1
Peas,16.96,1197.97,46.82,6.67,251.35,42.94,170.83,4,1
Cauliflower,16.37,1217.68,55.5,5.69,451.76,74.42,253.06,4,1
KnolKhol,19.11,983.76,42.04,5.56,255.83,53.53,275.24,6,1
Cauliflower,15.82,1025.92,43.57,5.65,421.17,65.51,345.0,7,1
KnolKhol,30.44,722.23,65.48,8.86,58.9,11.96,71.22,10,0
Potato,19.17,1186.24,46.52,6.11,275.67,63.03,180.22,6,0
Carrot,15.79,1096.37,53.23,6.22,314.97,44.52,195.88,6,1
Carrot,15.92,1059.54,40.0,6.87,242.53,44.96,156.53,6,1
Potato,19.18,1845.91,67.21,6.44,393.03,44.33,227.29,4,1
Carrot,21.01,949.53,45.07,6.44,259.62,48.91,192.08,6,1
Potato,17.87,1952.31,75.34,5.87,351.06,63.14,188.11,3,1
KnolKhol,19.68,1032.68,40.0,6.02,318.14,53.86,220.43,7,1
Peas,14.12,1007.53,40.0,7.27,153.94,56.96,149.75,5,1
Cabbage,22.99,1380.17,56.27,7.12,384.63,59.56,310.5,6,1
Beetroot,15.0,1242.02,50.5,6.8,310.99,49.17,238.48,5,1
Cabbage,27.95,1288.44,48.46,7.74,81.74,7.49,60.32,5,0
Cauliflower,15.87,1125.59,47.59,5.58,450.59,86.99,287.86,6,1
Radish,9.2,1027.18,40.0,5.97,163.38,36.69,135.05,8,1
Carrot,20.09,1208.81,42.9,6.81,298.07,35.47,194.79,4,1
KnolKhol,18.5,1202.65,40.0,5.81,394.52,79.38,251.14,7,1
Beetroot,19.94,912.83,40.0,6.53,282.72,34.74,151.41,9,1
Cabbage,26.82,1192.54,50.77,6.37,479.46,88.97,277.11,7,1
Cabbage,15.21,1234.68,58.86,7.42,411.09,75.43,289.44,5,0
Radish,16.05,843.76,42.59,6.29,215.85,56.01,150.79,9,1
Carrot,19.96,904.67,40.0,6.17,266.98,40.0,249.33,8,1
Radish,13.39,1004.08,40.0,5.86,241.32,48.3,126.95,8,1
KnolKhol,16.51,1073.83,40.0,5.75,324.08,40.55,185.33,8,1
Carrot,18.24,850.43,40.0,6.85,230.33,50.81,169.01,8,1
Cauliflower,19.0,1426.97,48.49,6.47,461.73,74.63,337.5,2,1
Cabbage,18.12,1865.59,66.36,6.22,376.92,59.14,323.99,3,1
Peas,14.06,1081.39,40.0,6.67,172.86,78.87,121.24,4,1
Beans,18.21,1180.55,52.72,5.89,224.63,51.89,215.71,7,1
Turnip,15.17,1032.92,42.23,6.54,152.79,41.14,176.34,7,1
Carrot,18.87,878.71,40.0,6.17,257.02,50.19,173.56,8,1
Radish,11.14,1050.14,40.0,6.61,242.95,42.35,194.96,5,1
Cabbage,15.87,1481.04,52.0,6.29,341.6,62.05,255.72,5,1
Carrot,16.98,1012.7,42.77,6.39,229.63,39.39,200.48,4,1
Cabbage,24.05,1064.78,48.45,7.11,369.34,54.14,235.2,7,1
Radish,13.51,923.11,42.04,6.54,157.45,36.69,131.58,7,0
Turnip,27.47,301.04,58.28,8.43,146.81,13.68,60.5,4,0
Potato,17.73,1727.12,63.46,5.87,347.85,49.74,231.79,3,0
Cabbage,29.59,1264.47,53.71,7.86,126.38,14.12,85.94,14,0
Cabbage,31.06,1484.13,65.92,7.9,84.91,14.23,52.87,2,0
Beans,14.14,1412.64,58.06,6.22,331.38,32.22,186.04,6,1
KnolKhol,16.71,1150.43,47.67,5.67,277.99,44.5,182.23,6,1
Carrot,18.98,988.79,42.28,6.22,245.64,37.88,245.09,5,1
Cauliflower,18.47,427.96,60.61,8.3,145.64,5.91,62.6,6,0
Cabbage,17.01,1552.01,59.11,6.74,486.67,68.66,315.24,3,1
Beetroot,19.95,1206.62,56.63,6.97,339.16,52.42,203.94,5,1
Beans,21.7,1272.47,48.26,5.78,217.3,35.95,186.3,7,1
KnolKhol,14.78,1312.04,61.01,5.74,364.98,56.59,296.76,5,1
Cauliflower,17.97,984.98,40.0,6.17,421.88,61.93,227.11,5,1
Cabbage,21.43,998.91,40.0,7.39,445.17,52.14,303.53,7,1
Beans,18.88,1000.45,40.0,6.02,230.28,34.7,178.21,6,1
Beans,15.12,1337.16,62.67,5.82,327.19,54.96,234.28,5,1
KnolKhol,13.85,872.21,40.0,6.3,295.9,50.83,229.79,5,1
Cabbage,21.15,1173.37,51.63,7.23,330.15,56.86,328.29,4,1
Potato,15.5,1501.25,60.8,6.0,298.52,64.09,267.43,5,1
Radish,13.71,1161.17,46.66,5.63,196.15,41.21,173.44,5,1
Potato,17.03,1822.05,65.34,5.35,253.11,62.3,161.66,1,1
KnolKhol,20.08,866.6,40.0,5.54,298.07,79.67,194.04,8,1
Carrot,16.65,1022.05,40.0,6.67,318.32,35.13,182.19,7,1
Beetroot,17.38,982.07,40.0,6.02,310.46,64.12,177.82,6,1
Beans,19.25,1167.34,41.32,5.67,246.2,49.05,225.75,6,1
Beetroot,15.66,997.06,41.51,6.74,341.11,63.06,182.63,8,1
Carrot,29.22,219.8,36.25,8.4,120.39,6.6,65.17,14,0
Beans,8.02,358.31,59.63,7.85,136.27,12.09,58.39,11,0
Cauliflower,15.84,1136.13,42.43,6.38,391.41,86.86,337.81,7,1
Carrot,13.34,1024.64,85.57,8.78,129.65,18.43,73.64,12,0
Potato,16.09,1317.93,59.45,6.17,389.07,65.77,223.39,5,1
Beetroot,18.92,854.85,40.0,6.41,307.64,66.52,157.37,6,1
Turnip,15.65,950.49,40.0,6.79,294.7,48.94,128.18,5,1
Potato,19.75,1356.91,56.36,6.33,278.96,52.27,193.34,4,1
Turnip,13.62,663.15,40.0,6.45,279.36,31.45,129.62,8,1
Peas,16.08,838.56,40.92,6.47,223.18,64.67,174.55,5,1
Peas,19.49,1166.03,30.58,8.18,54.8,14.82,96.25,2,0
Radish,23.5,1271.92,55.41,8.73,131.53,11.12,70.06,15,0
Radish,17.3,892.08,40.0,5.81,261.41,32.83,148.26,6,1
Turnip,13.88,982.76,40.0,6.4,221.88,33.8,167.44,8,1
Cauliflower,22.05,1121.38,32.71,8.47,124.73,16.42,69.49,2,0
Cabbage,19.91,827.88,32.26,8.5,62.07,16.2,62.61,14,0
Beans,20.66,959.23,40.08,5.6,270.11,49.17,188.26,7,1
KnolKhol,16.66,1025.27,44.81,6.59,353.8,45.66,196.84,6,1
Carrot,19.95,1231.33,40.5,6.88,348.86,32.21,170.18,4,1
Cauliflower,19.15,1031.78,46.27,6.52,343.11,81.18,229.91,8,1
Peas,12.16,792.49,40.0,6.16,174.22,43.3,141.3,6,1
Peas,20.53,2380.75,84.19,8.55,88.93,9.14,61.0,1,0
Potato,19.35,1659.0,64.85,5.87,299.4,52.37,232.77,5,1
Peas,26.45,1786.41,69.81,8.19,65.89,12.53,74.56,10,0
Cabbage,19.31,1539.17,64.91,7.33,356.55,73.16,303.92,4,1
Radish,8.29,719.8,59.87,8.03,126.38,18.01,54.37,12,0
Beans,17.75,1168.22,45.8,5.79,320.37,52.75,213.25,6,1
Potato,18.43,1537.03,59.47,6.36,344.23,68.6,223.25,3,1
Turnip,11.97,757.08,40.0,6.39,169.35,41.87,164.37,6,1
Potato,13.98,1605.88,55.1,5.52,256.96,52.77,171.16,4,1
Radish,10.72,989.65,40.96,6.58,172.75,48.56,172.64,7,1
Beans,8.9,706.07,90.37,8.85,88.37,11.57,68.33,15,0
KnolKhol,19.05,967.76,40.0,5.68,266.3,60.44,210.4,5,1
Cauliflower,32.22,2033.43,43.85,7.58,51.67,9.88,81.91,14,0
Cauliflower,16.94,888.3,40.0,6.42,464.6,77.39,222.75,6,1
Beans,19.09,1198.38,53.59,6.12,202.39,48.54,202.39,5,1
KnolKhol,19.25,1151.18,44.43,6.3,366.45,76.19,166.18,5,1
Potato,17.12,1217.56,49.34,5.51,262.58,67.19,277.95,5,1
Peas,14.01,876.02,40.0,6.81,199.38,55.94,108.98,7,1
Beans,15.7,1478.38,64.94,9.0,53.79,16.47,75.73,6,0
Beans,22.15,1108.23,46.49,6.42,282.98,31.6,225.15,5,1
Potato,16.59,1770.68,62.91,5.34,342.03,47.63,245.43,1,1
Beetroot,20.63,1107.22,40.0,6.99,211.57,60.75,217.28,6,1
Cabbage,23.98,1181.85,54.1,6.7,455.74,61.83,237.81,6,1
Turnip,12.33,660.41,40.0,6.88,270.18,58.1,167.34,10,0
Radish,9.52,1037.26,40.0,6.28,258.29,49.2,137.41,8,1
Turnip,13.3,702.53,40.0,6.06,177.87,44.57,152.27,8,1
Carrot,17.31,1364.14,51.01,6.29,235.63,56.84,183.21,6,1
Turnip,11.33,819.16,81.33,7.53,133.75,7.65,67.39,11,0
Beans,19.76,1104.75,45.5,5.76,329.12,59.09,176.03,8,1
Carrot,19.77,1019.81,40.0,6.11,273.27,62.29,171.3,5,1
Radish,16.37,989.06,44.9,6.16,192.93,49.43,136.12,7,1
Cauliflower,18.18,1273.67,43.77,6.15,440.19,87.23,215.46,7,1
Beetroot,19.81,915.09,40.0,6.08,308.58,62.17,189.39,7,1
Carrot,17.13,1317.21,42.89,6.4,237.94,56.4,157.32,3,1
Potato,15.48,2165.05,32.17,8.46,78.18,13.47,61.37,14,0
Peas,17.34,877.74,40.0,6.75,236.14,67.41,180.18,7,0
KnolKhol,17.3,984.52,40.0,6.08,399.62,49.75,159.71,7,1
KnolKhol,17.41,808.51,40.0,5.96,393.8,41.05,259.4,7,1
Cabbage,22.51,1181.83,43.55,6.25,459.33,50.4,345.49,7,1
Beans,19.42,1455.08,62.18,5.89,304.38,44.5,223.72,4,1
Cauliflower,19.82,969.37,44.49,5.51,377.59,72.96,207.0,7,1
Carrot,17.47,732.89,88.46,7.91,149.3,12.74,71.37,1,0
Peas,16.54,1088.27,47.5,7.34,272.62,52.67,112.82,8,1
KnolKhol,17.57,1119.88,40.0,5.88,292.44,65.16,187.08,5,1
Potato,23.98,243.36,61.86,7.63,132.03,11.31,88.99,9,0
Potato,15.69,1860.17,69.98,5.72,321.45,75.24,172.6,2,1
Beans,6.59,2184.69,47.94,8.72,96.85,10.48,98.96,10,0
Cabbage,17.31,1661.03,59.32,6.47,408.38,78.34,214.81,1,1
Beans,19.01,880.57,45.13,6.04,222.73,54.16,174.24,5,1
Beans,20.84,1413.14,49.14,6.44,343.47,51.64,204.18,6,1
Beetroot,17.44,1110.38,51.76,6.06,262.46,32.61,209.03,7,1
KnolKhol,16.74,944.12,43.59,6.22,270.17,56.63,170.57,8,1
Peas,14.87,1213.09,48.25,6.1,251.11,45.93,189.91,4,1
Potato,13.58,1509.89,69.98,5.07,391.32,60.62,191.58,3,1
Beans,18.03,1252.18,48.83,6.08,262.06,40.71,244.78,4,1
Beans,17.67,1066.38,45.41,5.95,247.58,57.57,177.78,8,1
Cabbage,21.81,1022.55,49.96,6.67,445.92,79.61,231.19,5,1
Peas,16.34,1021.7,32.67,7.78,129.12,5.01,77.84,12,0
Peas,17.93,1943.9,53.03,7.67,131.93,9.65,69.92,7,0
Beetroot,20.79,881.61,40.0,6.93,293.12,47.55,206.15,8,1
Cauliflower,21.59,1314.09,52.56,5.93,389.0,57.0,256.81,7,1
Beetroot,23.99,2080.43,34.51,8.72,78.18,13.86,91.64,1,0
Cauliflower,18.18,1217.68,40.0,5.53,493.07,78.89,239.09,7,1
Cabbage,26.54,1213.73,50.58,7.0,412.36,55.26,304.71,6,0
Radish,12.24,1016.6,40.0,6.64,173.45,46.13,159.96,8,1
Radish,12.94,688.85,40.0,6.8,158.06,37.87,133.41,10,1
Radish,16.29,829.33,40.0,6.05,212.31,32.46,129.48,8,0
Cauliflower,27.93,587.71,51.96,8.68,93.45,11.46,71.52,11,0
Turnip,12.5,1106.24,53.46,6.33,229.78,57.72,143.14,7,1
KnolKhol,16.09,896.81,40.0,6.15,364.58,74.88,212.4,5,1
Beetroot,14.71,779.91,40.0,6.34,280.83,45.63,174.72,6,0
Peas,17.78,990.19,40.0,6.92,176.3,69.56,153.42,8,1
Cabbage,23.61,1529.36,54.62,6.58,364.56,73.81,315.04,5,1
Beetroot,17.61,730.38,40.0,6.16,253.59,69.7,155.31,7,1
Potato,19.7,2022.03,81.94,5.92,354.21,77.97,256.77,3,1
Carrot,19.31,1490.93,65.88,6.3,218.36,69.5,182.84,3,1
Carrot,16.32,1703.41,59.78,8.71,105.7,17.3,61.86,7,0
KnolKhol,19.29,1234.36,53.84,5.63,278.39,74.81,201.85,3,0
Beetroot,5.88,2364.23,81.93,8.78,94.7,12.35,63.95,14,0
Turnip,11.21,754.07,40.0,6.32,262.33,36.54,128.65,6,1
Beetroot,34.26,1338.73,31.57,8.83,106.99,7.1,97.81,3,0
Turnip,23.97,772.91,42.5,8.9,70.19,13.14,89.72,12,0
Turnip,15.37,930.51,40.0,6.25,198.55,52.76,143.33,9,1
Radish,16.06,2002.32,42.05,8.93,80.92,10.9,64.1,14,0
KnolKhol,16.08,1290.02,44.63,6.46,382.16,61.51,158.5,6,1
Radish,12.69,650.45,40.0,6.32,279.5,36.11,186.15,10,1
Turnip,12.71,797.45,40.0,6.74,166.5,38.16,176.7,9,1
Peas,14.28,1174.52,50.48,6.5,268.18,40.96,105.14,4,0
Cabbage,27.68,1468.25,64.9,8.74,57.16,8.47,60.95,2,0
KnolKhol,16.81,964.55,45.24,6.51,352.19,49.28,253.97,7,1
Potato,19.12,1908.14,79.23,5.42,311.71,75.55,249.58,3,1
Peas,15.82,918.46,40.0,6.28,168.4,44.28,149.35,7,1
Turnip,10.4,1068.71,41.04,6.92,153.11,56.7,178.81,7,1
Radish,12.83,724.9,40.0,5.59,153.6,30.43,122.01,8,1
Cabbage,20.44,1258.67,47.46,6.54,482.24,70.31,326.16,5,1
Peas,12.04,803.74,40.0,6.96,213.39,51.21,194.69,9,0
Beetroot,20.36,1177.38,55.45,6.36,259.05,39.86,248.82,7,1
Carrot,8.35,1516.08,94.75,7.84,94.61,13.46,57.05,13,0
Radish,15.81,849.04,40.0,6.02,247.48,44.72,147.98,8,1
Beetroot,18.19,894.06,40.0,6.92,271.97,39.05,226.61,6,1
Cauliflower,20.68,1210.15,56.0,6.37,305.13,87.71,239.44,4,1
Beetroot,20.74,454.95,52.54,8.81,92.52,19.14,55.54,9,0
Beans,19.06,1518.69,57.64,6.05,200.6,59.32,246.88,4,1
Cabbage,20.21,1632.99,60.69,6.13,307.74,63.36,244.34,4,0
Radish,10.01,987.46,44.02,6.21,180.86,50.31,167.13,6,1
KnolKhol,19.24,1036.42,48.3,5.98,252.64,72.57,226.29,8,1
Cabbage,24.58,2473.92,35.28,8.57,89.79,12.65,68.54,12,0
Beetroot,17.99,897.21,44.68,6.81,296.27,56.77,240.75,6,1
KnolKhol,18.94,1057.64,47.86,6.48,369.21,55.12,238.29,5,1
Turnip,14.8,868.72,43.45,6.36,291.73,53.15,150.03,6,1
Cabbage,9.22,1774.11,41.41,7.68,51.96,14.8,74.48,9,0
Cabbage,15.18,1163.3,42.99,6.67,325.12,70.16,258.24,7,1
Turnip,6.95,441.53,72.69,7.7,82.44,6.3,69.73,4,0
KnolKhol,24.88,602.6,47.06,7.88,119.58,15.29,86.19,14,0
Beans,22.3,1204.13,40.85,5.6,310.13,42.67,193.97,5,1
Cauliflower,16.76,1178.32,53.17,6.07,396.82,72.04,240.44,6,0
Cabbage,15.77,1339.97,53.86,6.98,417.1,67.82,340.61,5,1
Beetroot,18.22,903.26,40.0,6.25,213.99,65.4,226.48,9,1
Cauliflower,16.45,1177.18,47.98,5.94,419.33,83.09,208.32,6,1
Cauliflower,17.29,1356.71,47.93,5.77,375.69,74.33,298.75,4,1
Peas,13.9,728.63,40.0,6.85,182.22,64.99,149.12,6,1
Carrot,6.04,1269.0,87.11,8.52,67.48,13.17,62.74,8,0
Potato,16.64,1688.14,66.83,6.43,267.8,64.82,227.49,4,1
KnolKhol,15.74,1151.32,47.16,6.19,347.12,67.46,227.4,4,1
Beetroot,18.65,807.47,40.0,6.39,253.03,47.86,237.03,9,1
Beetroot,20.98,994.69,40.0,6.05,288.91,60.45,238.54,8,1
Beetroot,15.28,2273.65,38.38,8.05,104.98,8.85,55.7,6,0
Peas,10.41,1038.57,45.26,6.21,299.78,54.3,156.69,8,1
Cauliflower,18.21,1051.52,44.18,6.46,425.58,78.4,233.07,7,1
Turnip,15.79,858.54,40.0,6.38,154.17,59.45,171.83,7,1
KnolKhol,16.06,1087.6,46.72,5.54,271.66,49.95,174.28,8,1
Beetroot,21.15,385.28,87.74,7.98,50.54,14.0,67.01,7,0
Beans,22.0,1414.68,51.9,5.79,282.72,55.21,175.21,4,1
Beans,18.09,1415.84,61.08,6.43,267.69,38.95,210.13,3,1
Peas,14.4,1113.37,40.0,6.79,181.64,62.15,189.97,5,1
Carrot,17.92,321.77,53.3,7.82,131.95,17.12,55.94,1,0
Beans,17.49,1246.21,44.73,5.61,218.22,35.98,228.82,6,1
Potato,6.95,716.86,68.44,7.77,140.25,13.28,52.48,3,0
Radish,12.03,926.08,40.0,6.59,260.57,35.82,192.24,9,1
Peas,14.27,1113.02,44.27,6.16,238.36,41.78,185.32,7,1
Beetroot,15.57,765.5,40.0,6.01,272.4,58.87,191.87,9,1
Cauliflower,18.95,1115.69,46.19,5.56,371.75,60.36,318.77,7,1
Turnip,10.73,986.04,48.39,6.35,229.29,42.82,142.29,5,0
Cauliflower,17.57,1390.25,64.67,5.99,444.82,77.33,207.97,4,1
Beans,17.09,1098.99,47.72,6.02,335.39,35.46,154.35,5,1
Peas,18.93,1233.76,46.92,6.03,243.53,79.71,125.69,5,1
Radish,18.09,836.37,40.0,6.18,172.33,47.93,146.93,6,1
Beans,15.68,1246.73,48.98,5.74,261.8,39.84,168.05,4,1
Potato,17.05,1600.53,54.41,6.5,340.61,63.53,159.46,2,1
Peas,14.07,919.6,43.38,6.78,162.26,46.57,147.56,6,1
Beans,18.19,1483.74,54.55,5.96,302.93,31.7,175.54,3,0
Cabbage,31.06,1208.64,72.25,8.38,94.13,18.62,54.01,8,0
Beetroot,17.84,1054.97,50.13,6.45,226.9,61.57,189.21,6,1
KnolKhol,20.12,1002.49,40.0,6.29,340.79,60.48,239.75,4,1
Radish,16.23,1120.5,40.0,5.85,219.52,41.37,125.25,7,1
Potato,8.8,332.47,70.57,7.71,63.82,17.93,93.34,1,0
